Id,Date,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories
1503960366,4/12/2016,25,13,328,728,1985
1624580081,4/12/2016,0,0,146,1294,1797
1644430081,4/12/2016,2,51,256,1131,1776
1844505072,4/12/2016,0,0,339,1101,1745
1927972279,4/12/2016,0,0,55,734,1863
2022484408,4/12/2016,42,14,227,1157,1728
2026352035,4/12/2016,3,8,181,706,1921
2320127002,4/12/2016,13,9,306,1112,2035
2347167796,4/12/2016,28,13,320,964,1786
2873212765,4/12/2016,2,21,356,1061,1775
3372868164,4/12/2016,0,0,280,1160,1827
3977333714,4/12/2016,44,19,131,777,1949
4020332650,4/12/2016,4,15,331,712,1788
4057192912,4/12/2016,0,0,164,1276,2013
4319703577,4/12/2016,0,0,0,1440,1970
4388161847,4/12/2016,0,0,0,1440,2159
4445114986,4/12/2016,0,0,196,787,1898
4558609924,4/12/2016,0,0,318,1122,1837
4702921684,4/12/2016,0,0,263,718,1947
5553957443,4/12/2016,19,13,277,767,1820
5577150313,4/12/2016,86,16,140,728,2004
6117666160,4/12/2016,0,0,0,1440,1990
6290855005,4/12/2016,0,0,199,1241,1819
6775888955,4/12/2016,0,0,0,1440,1959
6962181067,4/12/2016,50,14,189,796,1896
7007744171,4/12/2016,53,8,355,1024,1821
7086361926,4/12/2016,59,6,153,745,1740
8053475328,4/12/2016,116,8,123,1193,1819
8253242879,4/12/2016,40,2,154,1244,1859
8378563200,4/12/2016,65,15,156,723,1783
8583815059,4/12/2016,0,7,196,1237,0
8792009665,4/12/2016,0,0,116,831,1432
8877689391,4/12/2016,85,7,312,1036,1411
1503960366,4/13/2016,21,19,217,776,1572
1624580081,4/13/2016,0,0,148,1292,1344
1644430081,4/13/2016,30,16,135,1259,1463
1844505072,4/13/2016,0,0,248,1192,1554
1927972279,4/13/2016,0,0,32,986,1604
2022484408,4/13/2016,43,5,292,1100,1435
2026352035,4/13/2016,0,0,238,663,1446
2320127002,4/13/2016,0,0,335,1105,1467
2347167796,4/13/2016,19,32,195,676,1470
2873212765,4/13/2016,0,8,404,1028,1562
3372868164,4/13/2016,16,8,371,1045,1617
3977333714,4/13/2016,31,46,153,754,1492
4020332650,4/13/2016,0,0,0,1440,1402
4057192912,4/13/2016,0,0,160,1280,1670
4319703577,4/13/2016,8,15,96,1234,1401
4388161847,4/13/2016,1,14,150,1275,1404
4445114986,4/13/2016,0,0,194,840,1655
4558609924,4/13/2016,19,7,127,1287,2690
4702921684,4/13/2016,0,0,258,777,1497
5553957443,4/13/2016,0,0,226,647,1334
5577150313,4/13/2016,15,11,144,776,1368
6117666160,4/13/2016,0,0,0,1440,1370
6290855005,4/13/2016,0,0,350,1090,1341
6775888955,4/13/2016,17,18,85,1053,1474
6962181067,4/13/2016,8,24,142,548,1427
7007744171,4/13/2016,56,22,261,1101,1328
7086361926,4/13/2016,31,26,155,744,1393
8053475328,4/13/2016,95,12,156,1177,1359
8253242879,4/13/2016,35,11,96,1298,1002
8378563200,4/13/2016,116,14,169,680,3199
8583815059,4/13/2016,2,23,163,1252,2902
8792009665,4/13/2016,0,0,82,806,3226
8877689391,4/13/2016,108,18,216,1098,2750
1503960366,4/14/2016,30,11,181,1218,3493
1624580081,4/14/2016,0,0,236,1204,3011
1644430081,4/14/2016,5,58,252,1125,2806
1844505072,4/14/2016,0,0,373,843,3300
1927972279,4/14/2016,0,9,88,1292,2430
2022484408,4/14/2016,32,3,257,1148,2140
2026352035,4/14/2016,0,0,197,653,2344
2320127002,4/14/2016,0,0,191,1249,2677
2347167796,4/14/2016,1,48,206,705,2413
2873212765,4/14/2016,0,0,331,1109,2497
3372868164,4/14/2016,6,25,370,1039,3123
3977333714,4/14/2016,5,23,214,801,2489
4020332650,4/14/2016,0,0,3,1437,3108
4057192912,4/14/2016,0,0,0,1440,2498
4319703577,4/14/2016,1,9,339,589,3846
4388161847,4/14/2016,10,35,219,945,2696
4445114986,4/14/2016,0,0,231,717,2580
4558609924,4/14/2016,0,0,279,1161,3324
4702921684,4/14/2016,0,0,271,772,2222
5553957443,4/14/2016,61,41,256,693,2463
5577150313,4/14/2016,118,30,176,662,3328
6117666160,4/14/2016,0,0,0,1440,3404
6290855005,4/14/2016,0,0,363,1077,2987
6775888955,4/14/2016,14,24,105,863,3008
6962181067,4/14/2016,0,0,86,862,2799
7007744171,4/14/2016,34,6,304,1096,1276
7086361926,4/14/2016,35,32,189,787,2030
8053475328,4/14/2016,119,5,193,1123,1860
8253242879,4/14/2016,29,16,33,1362,2130
8378563200,4/14/2016,123,21,174,699,1725
8583815059,4/14/2016,0,0,134,1306,1657
8792009665,4/14/2016,0,0,84,853,1793
8877689391,4/14/2016,68,13,298,1061,1814
1503960366,4/15/2016,29,34,209,726,1366
1624580081,4/15/2016,0,0,96,1344,1349
1644430081,4/15/2016,3,4,170,1263,2062
1844505072,4/15/2016,0,0,176,527,1827
1927972279,4/15/2016,0,0,51,941,1645
2022484408,4/15/2016,27,9,282,1122,1347
2026352035,4/15/2016,0,0,188,687,1347
2320127002,4/15/2016,0,0,245,1195,1347
2347167796,4/15/2016,1,24,284,720,1348
2873212765,4/15/2016,0,0,448,992,1992
3372868164,4/15/2016,0,0,335,1105,1856
3977333714,4/15/2016,15,42,183,644,1763
