Id,Date,TotalMinutesAsleep
8792009665,4/12/2016,458
8378563200,4/12/2016,338
7086361926,4/12/2016,514
6962181067,4/12/2016,366
5577150313,4/12/2016,419
5553957443,4/12/2016,441
4702921684,4/12/2016,425
4445114986,4/12/2016,429
4020332650,4/12/2016,501
3977333714,4/12/2016,274
2026352035,4/12/2016,503
1927972279,4/12/2016,750
1503960366,4/12/2016,327
8792009665,4/13/2016,531
8378563200,4/13/2016,447
7086361926,4/13/2016,451
6962181067,4/13/2016,630
6775888955,4/13/2016,235
5577150313,4/13/2016,432
5553957443,4/13/2016,455
4702921684,4/13/2016,400
4445114986,4/13/2016,370
3977333714,4/13/2016,295
2347167796,4/13/2016,467
2026352035,4/13/2016,531
1927972279,4/13/2016,398
1503960366,4/13/2016,384
8792009665,4/14/2016,486
8378563200,4/14/2016,424
7086361926,4/14/2016,472
6962181067,4/14/2016,508
6775888955,4/14/2016,423
5577150313,4/14/2016,477
5553957443,4/14/2016,357
4702921684,4/14/2016,384
4445114986,4/14/2016,441
4319703577,4/14/2016,535
3977333714,4/14/2016,291
2347167796,4/14/2016,445
2026352035,4/14/2016,545
8792009665,4/15/2016,363
8378563200,4/15/2016,513
7086361926,4/15/2016,377
6962181067,4/15/2016,370
6775888955,4/15/2016,391
5577150313,4/15/2016,392
5553957443,4/15/2016,377
4702921684,4/15/2016,253
4445114986,4/15/2016,337
4388161847,4/15/2016,499
4319703577,4/15/2016,465
3977333714,4/15/2016,424
2347167796,4/15/2016,452
2026352035,4/15/2016,523
1927972279,4/15/2016,475
1844505072,4/15/2016,644
1503960366,4/15/2016,412
8378563200,4/16/2016,611
7007744171,4/16/2016,79
6962181067,4/16/2016,357
6117666160,4/16/2016,380
5577150313,4/16/2016,406
5553957443,4/16/2016,651
4702921684,4/16/2016,382
4445114986,4/16/2016,462
4388161847,4/16/2016,426
4319703577,4/16/2016,506
4020332650,4/16/2016,77
3977333714,4/16/2016,283
2026352035,4/16/2016,524
1503960366,4/16/2016,340
8378563200,4/17/2016,525
6962181067,4/17/2016,427
6117666160,4/17/2016,336
5577150313,4/17/2016,549
5553957443,4/17/2016,350
